"record_nbr","pay_year","fms_dept","fms_department_title","job_class_pgrade","job_title","employment_type","job_status","mou","mou_title","regular_pay","overtime_pay","all_other_pay","total_pay","city_retirement_contributions","benefit_pay","gender","ethnicity"
"3030303136","2018","70","POLICE","2214-2","POLICE OFFICER II","FULL_TIME","NOT_ACTIVE","24","POLICE OFFICERS, LIEUTENANT AND BELOW","91951.8","23062.85","1525","116539.65","43079.4183","14022.45","MALE","HISPANIC"
"3030303136","2018","70","POLICE","2214-3","POLICE OFFICER III","FULL_TIME","ACTIVE","24","POLICE OFFICERS, LIEUTENANT AND BELOW","12830.4","2525.99","0","15356.39","6011.0424","2072.73","MALE","HISPANIC"
"303030313733","2018","88","RECREATION AND PARKS","2413-0","POOL LIFEGUARD","PART_TIME","ACTIVE","18","SAFETY / SECURITY","5793.96","0","0","5793.96","0","0","MALE","ASIAN"
"303030313832","2018","28","COUNCIL","0182-0","COUNCIL AIDE III","PER_EVENT","NOT_ACTIVE","00","NON-REPRESENTED","0","0","25.11","25.11","0","0","MALE","HISPANIC"
"303030313933","2018","12","CITY ATTORNEY","0595-0","DEPUTY CITY ATTORNEY II","FULL_TIME","ACTIVE","29","DEPUTY CITY ATTORNEYS","129221.6","0","1800","131021.6","38327.12656","647.52","MALE","CAUCASIAN"
"3030303232","2018","86","PUBLIC WORKS - STREET SERVICES","9184-0","MANAGEMENT ANALYST","FULL_TIME","ACTIVE","01","ADMINISTRATIVE","100960","14932.57","109.56","116002.13","29944.735999999997","15180.24","FEMALE","FILIPINO"
"3030303233","2018","70","POLICE","2227-2","POLICE SERGEANT II","FULL_TIME","NOT_ACTIVE","24","POLICE OFFICERS, LIEUTENANT AND BELOW","133196.71","23079.1","1945","158220.81","62402.658635","16095.18","MALE","HISPANIC"
"3030303234","2018","82","PUBLIC WORKS - SANITATION","0870-0","PAINTER - HIRING HALL","PART_TIME","ACTIVE","35","CRAFT WORKERS/ HIRING HALL","41006.64","0","3292.7","44299.34","0","0","MALE","HISPANIC"
"3030303235","2018","82","PUBLIC WORKS - SANITATION","3580-2","REFUSE COLLECTION TRUCK OPERATOR II","FULL_TIME","NOT_ACTIVE","04","EQUIPMENT OPERATION AND LABOR","70811.27","1769.67","1391.36","73972.3","21002.622682","16461.12","MALE","HISPANIC"
"3030303236","2018","40","GENERAL SERVICES","3156-0","CUSTODIAN","FULL_TIME","ACTIVE","15","SERVICE EMPLOYEES","47779.36","0","1234.92","49014.28","14171.358176","19731.84","MALE","HISPANIC"
"303030323932","2018","4","AIRPORTS","0845-2","AIRPORT GUIDE II","FULL_TIME","ACTIVE","03","CLERICAL","44648.95","9248.6","909.49","54807.04","13242.87857","7945.2","MALE","HISPANIC"
"303030333233","2018","86","PUBLIC WORKS - STREET SERVICES","3525-0","EQUIPMENT OPERATOR","FULL_TIME","ACTIVE","04","EQUIPMENT OPERATION AND LABOR","94760.96","1222.49","497.82","96481.27","28106.100736","17155.2","MALE","CAUCASIAN"
"3030303334","2018","26","CONTROLLER","1223-0","ACCOUNTING CLERK","PART_TIME","NOT_ACTIVE","03","CLERICAL","0","0","109.67","109.67","0","0","FEMALE","BLACK"
"3030303337","2018","70","POLICE","2207-2","POLICE SERVICE REPRESENTATIVE II","FULL_TIME","NOT_ACTIVE","03","CLERICAL","92157.98","1198.75","1059.94","94416.67","27334.056868","19731.84","FEMALE","HISPANIC"
"303030343031","2018","88","RECREATION AND PARKS","3141-0","GARDENER CARETAKER","FULL_TIME","NOT_ACTIVE","04","EQUIPMENT OPERATION AND LABOR","0","0","410.62","410.62","0","0","MALE","HISPANIC"
"303030343133","2018","70","POLICE","2214-2","POLICE OFFICER II","FULL_TIME","ACTIVE","24","POLICE OFFICERS, LIEUTENANT AND BELOW","100581.42","29696.34","1567.88","131845.64","47122.39527","12304.73","MALE","HISPANIC"
"3030303431","2018","88","RECREATION AND PARKS","2498-0","RECREATION ASSISTANT","PART_TIME","ACTIVE","07","RECREATION ASSISTANTS","15232.71","0","959.95","16192.66","0","7654.08","FEMALE","BLACK"
"3030303432","2018","40","GENERAL SERVICES","3746-0","EQUIPMENT REPAIR SUPERVISOR","FULL_TIME","ACTIVE","12","SUPERVISORY BLUE COLLAR","97112","1683","660.27","99455.27","28803.4192","19731.84","MALE","CAUCASIAN"
"3030303433","2018","39","OFFICE OF FINANCE","1514-2","TAX AUDITOR II","FULL_TIME","NOT_ACTIVE","01","ADMINISTRATIVE","0","0","51.25","51.25","0","0","FEMALE","ASIAN"
"3030303435","2018","70","POLICE","2214-2","POLICE OFFICER II","FULL_TIME","ACTIVE","24","POLICE OFFICERS, LIEUTENANT AND BELOW","125519.2","0","3008.18","128527.38","58805.7452","16095.18","MALE","CAUCASIAN"
"3030303437","2018","4","AIRPORTS","3344-0","CARPENTER","FULL_TIME","ACTIVE","02","BUILDING TRADES","85804.8","603.45","1438.06","87846.31","25449.70368","19731.84","MALE","HISPANIC"
"303030343832","2018","70","POLICE","2227-1","POLICE SERGEANT I","FULL_TIME","NOT_ACTIVE","24","POLICE OFFICERS, LIEUTENANT AND BELOW","125068.72","8320.08","1525","134913.8","58594.69532","17888","MALE","HISPANIC"
